                                                                                                                                                
================
== TensorFlow ==
================

NVIDIA Release 20.07-tf2 (build 14714731)
TensorFlow Version 2.2.0

Container image Copyright (c) 2020, NVIDIA CORPORATION.  All rights reserved.
Copyright 2017-2020 The TensorFlow Authors.  All rights reserved.

Various files include modifications (c) NVIDIA CORPORATION.  All rights reserved.
NVIDIA modifications are covered by the license terms that apply to the underlying project or file.

Detected MOFED 5.7-1.0.2.

NOTE: MOFED driver was detected, but nv_peer_mem driver was not detected.
      Multi-node communication performance may be reduced.

{0: 'Abra', 1: 'Aerodactyl', 2: 'Alakazam', 3: 'Arbok', 4: 'Arcanine', 5: 'Articuno', 6: 'Beedrill', 7: 'Bellsprout', 8: 'Blastoise', 9: 'Bulbasaur', 10: 'Butterfree', 11: 'Caterpie', 12: 'Chansey', 13: 'Charizard', 14: 'Charmander', 15: 'Charmeleon', 16: 'Clefable', 17: 'Clefairy', 18: 'Cloyster', 19: 'Cubone', 20: 'Dewgong', 21: 'Diglett', 22: 'Ditto', 23: 'Dodrio', 24: 'Doduo', 25: 'Dragonair', 26: 'Dragonite', 27: 'Dratini', 28: 'Drowzee', 29: 'Dugtrio', 30: 'Eevee', 31: 'Ekans', 32: 'Electabuzz', 33: 'Electrode', 34: 'Exeggcute', 35: 'Exeggutor', 36: 'Farfetchd', 37: 'Fearow', 38: 'Flareon', 39: 'Gastly', 40: 'Gengar', 41: 'Geodude', 42: 'Gloom', 43: 'Golbat', 44: 'Goldeen', 45: 'Golduck', 46: 'Golem', 47: 'Graveler', 48: 'Grimer', 49: 'Growlithe', 50: 'Gyarados', 51: 'Haunter', 52: 'Hitmonchan', 53: 'Hitmonlee', 54: 'Horsea', 55: 'Hypno', 56: 'Ivysaur', 57: 'Jigglypuff', 58: 'Jolteon', 59: 'Jynx', 60: 'Kabuto', 61: 'Kabutops', 62: 'Kadabra', 63: 'Kakuna', 64: 'Kangaskhan', 65: 'Kingler', 66: 'Koffing', 67: 'Krabby', 68: 'Lapras', 69: 'Lickitung', 70: 'Machamp', 71: 'Machoke', 72: 'Machop', 73: 'Magikarp', 74: 'Magmar', 75: 'Magnemite', 76: 'Magneton', 77: 'Mankey', 78: 'Marowak', 79: 'Meowth', 80: 'Metapod', 81: 'Mew', 82: 'Mewtwo', 83: 'Moltres', 84: 'Mr. Mime', 85: 'Muk', 86: 'Nidoking', 87: 'Nidoqueen', 88: 'Nidorina', 89: 'Nidorino', 90: 'Ninetales', 91: 'Oddish', 92: 'Omanyte', 93: 'Omastar', 94: 'Onix', 95: 'Paras', 96: 'Parasect', 97: 'Persian', 98: 'Pidgeot', 99: 'Pidgeotto', 100: 'Pidgey', 101: 'Pikachu', 102: 'Pinsir', 103: 'Poliwag', 104: 'Poliwhirl', 105: 'Poliwrath', 106: 'Ponyta', 107: 'Porygon', 108: 'Primeape', 109: 'Psyduck', 110: 'Raichu', 111: 'Rapidash', 112: 'Raticate', 113: 'Rattata', 114: 'Rhydon', 115: 'Rhyhorn', 116: 'Sandshrew', 117: 'Sandslash', 118: 'Scyther', 119: 'Seadra', 120: 'Seaking', 121: 'Seel', 122: 'Shellder', 123: 'Slowbro', 124: 'Slowpoke', 125: 'Snorlax', 126: 'Spearow', 127: 'Squirtle', 128: 'Starmie', 129: 'Staryu', 130: 'Tangela', 131: 'Tauros', 132: 'Tentacool', 133: 'Tentacruel', 134: 'Vaporeon', 135: 'Venomoth', 136: 'Venonat', 137: 'Venusaur', 138: 'Victreebel', 139: 'Vileplume', 140: 'Voltorb', 141: 'Vulpix', 142: 'Wartortle', 143: 'Weedle', 144: 'Weepinbell', 145: 'Weezing', 146: 'Wigglytuff', 147: 'Zapdos', 148: 'Zubat'}
File: 00000000.png, Guess: Ivysaur Correct: Abra
File: 00000001.png, Guess: Abra Correct: Abra
File: 00000003.png, Guess: Abra Correct: Abra
File: 00000004.png, Guess: Ivysaur Correct: Abra
File: 00000006.png, Guess: Abra Correct: Abra
File: 00000007.png, Guess: Abra Correct: Abra
File: 00000010.png, Guess: Snorlax Correct: Abra
File: 00000011.jpg, Guess: Nidorina Correct: Abra
File: 00000012.png, Guess: Abra Correct: Abra
File: 00000015.jpg, Guess: Ivysaur Correct: Abra
File: 00000023.jpg, Guess: Articuno Correct: Abra
File: 00000052.png, Guess: Abra Correct: Abra
File: 00000059.jpg, Guess: Golduck Correct: Abra
File: 00000060.jpg, Guess: Tentacool Correct: Abra
File: 00000062.jpg, Guess: Abra Correct: Abra
File: 00000077.jpg, Guess: Kadabra Correct: Abra
File: 00000080.jpg, Guess: Golduck Correct: Abra
File: 00000091.png, Guess: Tangela Correct: Abra
File: 00000101.png, Guess: Tangela Correct: Abra
File: 00000106.png, Guess: Pikachu Correct: Abra
File: 00000110.jpg, Guess: Abra Correct: Abra
File: 00000159.jpg, Guess: Abra Correct: Abra
File: 00000182.jpg, Guess: Sandslash Correct: Abra
File: 00000214.jpg, Guess: Nidoqueen Correct: Abra
File: 00000241.jpg, Guess: Machop Correct: Abra
File: 00c54790ddaebb6bdfd9d387c6a54559.jpg, Guess: Gyarados Correct: Abra
File: 0282b2f3a22745f1a436054ea15a0ae5.jpg, Guess: Abra Correct: Abra
File: 055adb433760435db36e3de9a2f5b577.jpg, Guess: Golduck Correct: Abra
File: 0569dd47bfe5152ba9821ccadc65e0ab.jpg, Guess: Gyarados Correct: Abra
File: 065bdcb7345ea1a3568fc4098ec00d6b.png, Guess: Abra Correct: Abra
File: 06b9eec4827d4d49b1b4c284308708df.jpg, Guess: Abra Correct: Abra
File: 07597e4a01255865239c9419f15f2e6d.jpg, Guess: Abra Correct: Abra
File: 0bbfc78c8523ea3a493d1d9157be6da1.jpg, Guess: Weezing Correct: Abra
File: 0e98362fd2b0a6bcd579b0918c160c68.png, Guess: Ivysaur Correct: Abra
File: 0ece3a440092547f60e53e87414ec026.jpg, Guess: Ivysaur Correct: Abra
File: 0fd515c0149bc1e37ba5f7e9d49cec93.jpg, Guess: Nidoqueen Correct: Abra
File: 10a9f06ec6524c66b779ea80354f8519.jpg, Guess: Abra Correct: Abra
File: 1192f980c31af23d8d996914fffe51dd.png, Guess: Abra Correct: Abra
File: 12edf8fafc8a87df593a441b683bba0a.jpg, Guess: Abra Correct: Abra
File: 135d900e04407d00dc4eba84f213a4ea.jpg, Guess: Onix Correct: Abra
File: 1378c5a74d313d4f543be9b4ef964b00.png, Guess: Abra Correct: Abra
File: 147ec91b4a55b38366f24489d4a07bc9.jpg, Guess: Kadabra Correct: Abra
File: 1788abb8b51f48509cfac8067bd99e14.jpg, Guess: Abra Correct: Abra
File: 1ae447f1661f13f0243d327f18110ec2.jpg, Guess: Abra Correct: Abra
File: 1bac91ec02408e613c540886b37f3067.jpg, Guess: Golduck Correct: Abra
File: 1cdd0466ef8f6895136592f1b1b402f6.jpg, Guess: Golbat Correct: Abra
File: 1d47eaac5fc49fe0b0f6fb7a752dc80c.jpg, Guess: Articuno Correct: Abra
File: 1e020ac6a65888d3ea8491730570846c.jpg, Guess: Gloom Correct: Abra
File: 228bad687c7bd536d6b7ac98be9e9d62.jpg, Guess: Abra Correct: Abra
File: 23beebc33cfedab796be25b49c4f9f60.jpg, Guess: Nidoqueen Correct: Abra
File: 277213c1311c3fc066d026096685398e.jpg, Guess: Abra Correct: Abra
File: 28cfad92ad934d1f9b579cbff4b5d012.jpg, Guess: Onix Correct: Abra
File: 2960e82088d8effa11123358decbb219.jpg, Guess: Abra Correct: Abra
File: 2acdd4f7638b4c33c8f6dc3307f97ca8.jpg, Guess: Rhyhorn Correct: Abra
File: 2c2b6efa03663532ecf1de24476d02f5.jpg, Guess: Abra Correct: Abra
File: 2d1a5e749a090bc9690a00d5d0f1bf0e.jpg, Guess: Nidorina Correct: Abra
File: 2e4597a61a0086313121159ffc39cbfa.jpg, Guess: Nidoqueen Correct: Abra
File: 2eb2a528f9a247358452b3c740df69a0.jpg, Guess: Nidoqueen Correct: Abra
File: 2fd28e699b7c4208acd1637fbad5df2d.jpeg, Guess: Articuno Correct: Abra
File: 32240b108a8140f8b31c495166fc453c.jpg, Guess: Tentacool Correct: Abra
File: 33f2854a39d7b7d7bbea656495b3e379.jpg, Guess: Gyarados Correct: Abra
File: 34532bb006714727ade4075f0a72b92d.jpg, Guess: Abra Correct: Abra
File: 35100932fa6fa98fbc1b63ea5f6e92f0.jpg, Guess: Machop Correct: Abra
File: 35a3fb9afc1d045a4f526b1576d5b2c6.jpg, Guess: Abra Correct: Abra
File: 3680c3f65a484c3ba05a7cb93e1d7ae3.jpg, Guess: Nidoqueen Correct: Abra
File: 3796d7c89aed723526c7c51c8427c84f.jpg, Guess: Abra Correct: Abra
File: 3c4ab4f4e1d548e5bc038715b47b4d51.jpg, Guess: Abra Correct: Abra
File: 3da8018f314901467103cf392d8b47c7.jpg, Guess: Squirtle Correct: Abra
File: 3ea3b7d1777c348895a3f7a89db4d43b.jpg, Guess: Nidoqueen Correct: Abra
File: 3f7e1ea4b9e959d540ae84af57584c96.jpg, Guess: Tentacool Correct: Abra
File: 3fa22a6b47bb7ee48c325df985a4a41e.jpg, Guess: Abra Correct: Abra
File: 408b68adc091c0d64bd48f52c68fffa8.jpg, Guess: Nidorina Correct: Abra
File: 4124250e804099af469246a271d263b2.jpg, Guess: Abra Correct: Abra
File: 419b00d6d5d06b38f63905117fb0bacb.jpg, Guess: Abra Correct: Abra
File: 4414069a17ee115e413e38aa53121ccc.jpg, Guess: Abra Correct: Abra
File: 4542780479a444ba63a742d71926e134.jpg, Guess: Vaporeon Correct: Abra
File: 46d7b100912dcb7b09c2914ff902a606.jpg, Guess: Pikachu Correct: Abra
File: 48412baa8527483d8e8ddb8555d2eeff.jpg, Guess: Squirtle Correct: Abra
File: 4845dc8343e31b8b1fdd1005b565d42e.jpg, Guess: Abra Correct: Abra
File: 48e035571ec827eff43b5e52c1d71c8b.jpg, Guess: Abra Correct: Abra
File: 4aa248c779477ad199280bc7c0f297e9.jpg, Guess: Golduck Correct: Abra
File: 4c27d3fc6dddda31582650ff1eeb0bff.jpg, Guess: Nidoqueen Correct: Abra
File: 4e554e4a0f624656a7b1542b679b6157.jpg, Guess: Abra Correct: Abra
File: 4f5565bc4fb10f1c85cca2c1330835af.jpg, Guess: Nidoqueen Correct: Abra
File: 508e3e600a34b6c9a918e3e22d63136d.png, Guess: Tangela Correct: Abra
File: 53039fe696f8e71d8d17a6ef30f886e1.png, Guess: Abra Correct: Abra
File: 5391a71dd2acd801a251174cb4c18eb0.jpg, Guess: Golduck Correct: Abra
File: 55faead24e1c490faafca5d90558ba38.jpg, Guess: Abra Correct: Abra
File: 5670959cc4327683c7ac78792b1f63e9.jpg, Guess: Nidoqueen Correct: Abra
File: 586c195c0bcd48158db71c1d7f75197c.jpg, Guess: Abra Correct: Abra
File: 58dd9ad4fbdbfe6f7fba59684ee813b7.jpg, Guess: Articuno Correct: Abra
File: 598f85b1edbdcce551295377ad50f9f8.jpg, Guess: Vaporeon Correct: Abra
File: 5aa1cdb094139d9e668775f5e66083ba.jpg, Guess: Abra Correct: Abra
File: 5c0ca320656b4f2fadea7aefeb80da53.jpg, Guess: Golduck Correct: Abra
File: 601e17cc83c7854e8f0acc6db174c26b.jpg, Guess: Nidoqueen Correct: Abra
File: 6119be89c1d24539a0310f40b947afc1.jpg, Guess: Abra Correct: Abra
File: 619dbc8046e7706ead6461484beb709d.jpg, Guess: Abra Correct: Abra
File: 6378448ae5af591fa1607cae3caac431.jpg, Guess: Golduck Correct: Abra
File: 637eda971d1084f3d62f0e74e51cc7e9.jpg, Guess: Nidoqueen Correct: Abra
File: 649a7e234cac44feba6da6652127f423.jpg, Guess: Nidoqueen Correct: Abra
File: 6581ad519ee158b8209a7b48671a0fc8.jpg, Guess: Abra Correct: Abra
File: 65ca00b9dfa8b60c6981fd4f4b46bad2.jpg, Guess: Rattata Correct: Abra
File: 6666891281934e76f9443adf0ca0295a.jpg, Guess: Abra Correct: Abra
File: 676da406fb214c516c8c53b58c80f899.jpg, Guess: Gyarados Correct: Abra
File: 68646afba0fca22b5071da7d95d6e5cb.jpg, Guess: Tentacool Correct: Abra
File: 692b22acf904886a7b647f20d77069bf.jpg, Guess: Abra Correct: Abra
File: 69f56bb87cede3c5525e36b7e748956e.jpg, Guess: Abra Correct: Abra
File: 6c206a37002a5d0a3ae210bb2378d146.jpg, Guess: Golduck Correct: Abra
File: 6d25b13bd4d36e4deb0975bf7939681c.jpg, Guess: Abra Correct: Abra
File: 6d5f533cda4bc365880c16bd2d8030b3.jpg, Guess: Golduck Correct: Abra
File: 7149bc6ecf4c261de0570a5dfb007137.jpg, Guess: Nidoqueen Correct: Abra
File: 7183c240e1c738b7feb225505eba4b31.png, Guess: Ivysaur Correct: Abra
File: 7203524ba0b3c7551a006feeeeb5ae82.jpg, Guess: Abra Correct: Abra
File: 72d22be467f3c1cc19cfbecabdd4b03b.jpg, Guess: Lapras Correct: Abra
File: 7359ea5fea8c12b5848bfd841b316694.jpg, Guess: Nidoqueen Correct: Abra
File: 74f231ca7969c471b8f27e36b7961ad9.jpg, Guess: Nidoqueen Correct: Abra
File: 79a82204971f8049b0d6bdf4b2f3b81d.png, Guess: Abra Correct: Abra
File: 7a300d6f799c48d1943cafaa5ab24e27.jpg, Guess: Abra Correct: Abra
File: 7b9859252d9346f6b3e7bc46d423c116.jpg, Guess: Abra Correct: Abra
File: 7e00f541d6df9c229877d1ab6b306ed3.jpg, Guess: Ivysaur Correct: Abra
File: 7fe1baeb0e55512c29de08198cbde819.jpg, Guess: Abra Correct: Abra
File: 82030b19eabbd8548b4681bd2b69eec8.jpg, Guess: Snorlax Correct: Abra
File: 857f7f60cd7c4019e777f5a700365fe2.jpg, Guess: Nidoqueen Correct: Abra
File: 863a18646fb4e05bf1f5a466fc904431.jpg, Guess: Sandslash Correct: Abra
File: 86c823fe351549c7818efd6ca718556e.jpg, Guess: Abra Correct: Abra
File: 8806404c68ddff035d40cf1313381b8c.jpg, Guess: Nidoqueen Correct: Abra
File: 894038892353be8207b9985ba9a46c11.jpg, Guess: Tauros Correct: Abra
File: 8bdca3c83a5667ebe758786880b7cbed.jpg, Guess: Abra Correct: Abra
File: 8ce71c68fbc9560c674dc1263d7ad02a.jpg, Guess: Onix Correct: Abra
File: 8cf2b8f52fdbe1c9612acaeab5c1dc6b.jpg, Guess: Abra Correct: Abra
File: 905409136503fb455ef244f8d6cf7141.png, Guess: Abra Correct: Abra
File: 90ca2c6f462719ddcde307224dcc650c.jpg, Guess: Abra Correct: Abra
File: 91f46563050e9482bc268352db275d62.jpg, Guess: Ivysaur Correct: Abra
File: 93e51fb92124ac2aff7c9d2005a317ac.jpg, Guess: Abra Correct: Abra
File: 95f205f244b54c00920626d669ea83e1.jpg, Guess: Abra Correct: Abra
File: 96857e9e70e24b1361c34f2dd6c960d3.jpg, Guess: Omastar Correct: Abra
File: 96c34c6fd703edaef495b1deb85cfc7f.jpg, Guess: Abra Correct: Abra
File: 96fee597df156ade4510967c7307441f.jpg, Guess: Pinsir Correct: Abra
File: 97413da21e0e8f7e795a66b47d51efb0.jpg, Guess: Nidorina Correct: Abra
File: 9754fcfa5d39464785f953e7c9da73d1.jpg, Guess: Abra Correct: Abra
File: 97594ac8f5f1049c891a72ded297068d.jpg, Guess: Tentacool Correct: Abra
File: 98b6c7a538c8ea6ccfb4656f68619b0b.jpg, Guess: Tentacool Correct: Abra
File: 9929b241bb9b306fd768648e30d674d5.jpg, Guess: Abra Correct: Abra
File: 9cc6f9ebfd94969bd38b9983301e6652.jpg, Guess: Charizard Correct: Abra
File: 9cf1b9c683c9ce4e3e8abc8d752a73dc.jpg, Guess: Gyarados Correct: Abra
File: 9e60831277548c624ad3d03d6c02c1af.jpg, Guess: Abra Correct: Abra
File: a4597b4a6c0687d70695910b2d55b4a9.jpg, Guess: Gyarados Correct: Abra
File: a4868944d64c561711cd52b9c3b23fb3.jpg, Guess: Squirtle Correct: Abra
File: a58e72fb83e60ed734dee716366d9936.jpg, Guess: Nidoqueen Correct: Abra
